hour,sentiment_3class,tweet_count,avg_polarity
0,Negative,2746,-0.35893596248508264
0,Neutral,5262,8.058730422754027e-05
0,Positive,6105,0.415002094801666
1,Negative,2602,-0.36256006258827667
1,Neutral,4996,0.00028947884510771674
1,Positive,5796,0.41467954409191565
2,Negative,2365,-0.36444675239892477
2,Neutral,5046,0.0002823185761094501
2,Positive,5795,0.40923791016664907
3,Negative,2354,-0.3567781594929258
3,Neutral,4904,-0.0001588960120830913
3,Positive,5832,0.40771059408363414
4,Negative,2356,-0.3546853615228264
4,Neutral,4865,9.701042351029515e-05
4,Positive,5577,0.40816172840119946
5,Negative,2464,-0.3636371867804331
5,Neutral,4648,0.00010921322440557877
5,Positive,5409,0.4118382689804182
6,Negative,2480,-0.35904193516269656
6,Neutral,5020,-0.00014807970456804542
6,Positive,5563,0.42029317103619623
7,Negative,2751,-0.3629328338671559
7,Neutral,5291,7.341609741163315e-05
7,Positive,5849,0.4139719971592888
8,Negative,1753,-0.36621806778526955
8,Neutral,3507,-0.00016553144184043095
8,Positive,3800,0.42045061116684257
9,Negative,1060,-0.36301542217737265
9,Neutral,2072,0.0004986310322526842
9,Positive,2461,0.43032665384547397
10,Negative,1259,-0.33586483566213826
10,Neutral,2629,2.438222745373757e-05
10,Positive,2979,0.42634418645168976
11,Negative,1159,-0.3499131380984314
11,Neutral,2479,0.0002764611474965953
11,Positive,2925,0.41311568300935075
12,Negative,655,-0.36609618636952
12,Neutral,1232,-0.00032592977036716863
12,Positive,1220,0.399334658110613
13,Negative,402,-0.37797403018587833
13,Neutral,700,-0.0005141456551054762
13,Positive,696,0.401678695801782
14,Negative,424,-0.37056725794166046
14,Neutral,699,3.5778281486435637e-06
14,Positive,682,0.38556421805544194
15,Negative,374,-0.35866488158030857
15,Neutral,641,0.00017488443044215267
15,Positive,612,0.37876916714976405
16,Negative,478,-0.3724970679662838
16,Neutral,795,0.00019444557887954116
16,Positive,790,0.38368767835991646
17,Negative,538,-0.3739388522760073
17,Neutral,850,-0.00015543415598562657
17,Positive,827,0.4125843660228178
18,Negative,689,-0.36023409309518595
18,Neutral,1283,0.0007421625162332976
18,Positive,1477,0.4236776564731563
19,Negative,985,-0.3755970951004068
19,Neutral,1907,6.952599516590751e-05
19,Positive,2044,0.4158938886024097
20,Negative,1524,-0.3666506233117492
20,Neutral,2891,0.00014479314808596444
20,Positive,3151,0.4055457953550002
21,Negative,2165,-0.36767072651315036
21,Neutral,3930,2.576079169143372e-06
21,Positive,4198,0.413680829221378
22,Negative,2596,-0.35294603378984385
22,Neutral,4377,7.553557639175395e-05
22,Positive,5151,0.411407824031572
23,Negative,2926,-0.3559385557034076
23,Neutral,5555,0.00017002826313887738
23,Positive,6377,0.4133560000063277
